reset 
clear 
plot 2 with lines 
set size ratio 0.500000 
set nokey 
4 5 0.000000 
4 6 0.000000 
4 7 0.000000 
4 8 0.000000 
4 9 0.000000 
4 10 0.000000 
4 11 0.000000 
4 12 0.000000 
4 13 0.000000 
4 14 0.000000 
4 15 0.000000 
4 16 0.000000 
4 17 0.000000 
4 18 0.000000 
4 19 0.000000 
4 20 0.000000 
4 21 0.000000 
4 22 0.000000 
4 23 0.000000 
4 24 0.000000 
4 25 0.000000 
4 26 0.000000 
4 27 0.000000 
4 28 0.000000 
4 29 0.000000 
4 30 0.000000 
4 31 0.000000 
4 32 0.000000 
4 33 0.000000 
4 34 0.000000 
4 35 0.000000 
4 36 0.000000 
4 37 0.000000 
4 38 0.000000 
4 39 0.000000 
4 40 0.000000 
4 41 0.000000 
4 42 0.000000 
5 0 100.000000 
5 1 0.000000 
5 2 0.000000 
5 3 0.000000 
5 4 0.000000 
5 5 0.000000 
5 6 0.000000 
5 7 0.000000 
5 8 0.000000 
5 9 0.000000 
5 10 0.000000 
5 11 0.000000 
5 12 0.000000 
5 13 0.000000 
5 14 0.000000 
5 15 0.000000 
5 16 0.000000 
5 17 0.000000 
5 18 0.000000 
5 19 0.000000 
5 20 0.000000 
5 21 0.000000 
5 22 0.000000 
5 23 0.000000 
5 24 0.000000 
5 25 0.000000 
5 26 0.000000 
5 27 0.000000 
5 28 0.000000 
5 29 0.000000 
5 30 0.000000 
5 31 0.000000 
5 32 0.000000 
5 33 0.000000 
5 34 0.000000 
5 35 0.000000 
5 36 0.000000 
5 37 0.000000 
5 38 0.000000 
5 39 0.000000 
5 40 0.000000 
5 41 0.000000 
5 42 0.000000 
6 0 100.000000 
6 1 0.000000 
6 2 0.000000 
6 3 0.000000 
6 4 0.000000 
6 5 0.000000 
6 6 0.000000 
6 7 0.000000 
6 8 0.000000 
6 9 0.000000 
6 10 0.000000 
6 11 0.000000 
6 12 0.000000 
6 13 0.000000 
6 14 0.000000 
6 15 0.000000 
6 16 0.000000 
6 17 0.000000 
6 18 0.000000 
6 19 0.000000 
6 20 0.000000 
6 21 0.000000 
6 22 0.000000 
6 23 0.000000 
6 24 0.000000 
6 25 0.000000 
6 26 0.000000 
6 27 0.000000 
6 28 0.000000 
6 29 0.000000 
6 30 0.000000 
6 31 0.000000 
6 32 0.000000 
6 33 0.000000 
6 34 0.000000 
6 35 0.000000 
6 36 0.000000 
6 37 0.000000 
6 38 0.000000 
6 39 0.000000 
6 40 0.000000 
6 41 0.000000 
6 42 0.000000 
7 0 100.000000 
7 1 0.000000 
7 2 0.000000 
7 3 0.000000 
7 4 0.000000 
7 5 0.000000 
7 6 0.000000 
7 7 0.000000 
7 8 0.000000 
7 9 0.000000 
7 10 0.000000 
7 11 0.000000 
7 12 0.000000 
7 13 0.000000 
7 14 0.000000 
7 15 0.000000 
7 16 0.000000 
7 17 0.000000 
7 18 0.000000 
7 19 0.000000 
7 20 0.000000 
7 21 0.000000 
7 22 0.000000 
7 23 0.000000 
7 24 0.000000 
7 25 0.000000 
7 26 0.000000 
7 27 0.000000 
7 28 0.000000 
7 29 0.000000 
7 30 0.000000 
7 31 0.000000 
7 32 0.000000 
7 33 0.000000 
7 34 0.000000 
7 35 0.000000 
7 36 0.000000 
7 37 0.000000 
7 38 0.000000 
7 39 0.000000 
7 40 0.000000 
7 41 0.000000 
7 42 0.000000 
8 0 100.000000 
8 1 0.000000 
8 2 0.000000 
8 3 0.000000 
8 4 0.000000 
8 5 0.000000 
8 6 0.000000 
8 7 0.000000 
8 8 0.000000 
8 9 0.000000 
8 10 0.000000 
8 11 0.000000 
8 12 0.000000 
8 13 0.000000 
8 14 0.000000 
8 15 0.000000 
8 16 0.000000 
8 17 0.000000 
8 18 0.000000 
8 19 0.000000 
8 20 0.000000 
8 21 0.000000 
8 22 0.000000 
8 23 0.000000 
8 24 0.000000 
8 25 0.000000 
8 26 0.000000 
8 27 0.000000 
8 28 0.000000 
8 29 0.000000 
8 30 0.000000 
8 31 0.000000 
8 32 0.000000 
8 33 0.000000 
8 34 0.000000 
8 35 0.000000 
8 36 0.000000 
8 37 0.000000 
8 38 0.000000 
8 39 0.000000 
8 40 0.000000 
8 41 0.000000 
8 42 0.000000 
9 0 100.000000 
9 1 0.000000 
9 2 0.000000 
9 3 0.000000 
9 4 0.000000 
9 5 0.000000 
9 6 0.000000 
9 7 0.000000 
9 8 0.000000 
9 9 0.000000 
9 10 0.000000 
9 11 0.000000 
9 12 0.000000 
9 13 0.000000 
9 14 0.000000 
9 15 0.000000 
9 16 0.000000 
9 17 0.000000 
9 18 0.000000 
9 19 0.000000 
9 20 0.000000 
9 21 0.000000 
9 22 0.000000 
9 23 0.000000 
9 24 0.000000 
9 25 0.000000 
9 26 0.000000 
9 27 0.000000 
9 28 0.000000 
9 29 0.000000 
9 30 0.000000 
9 31 0.000000 
9 32 0.000000 
9 33 0.000000 
9 34 0.000000 
9 35 0.000000 
9 36 0.000000 
9 37 0.000000 
9 38 0.000000 
9 39 0.000000 
9 40 0.000000 
9 41 0.000000 
9 42 0.000000 
10 0 100.000000 
10 1 0.000000 
10 2 0.000000 
10 3 0.000000 
10 4 0.000000 
10 5 0.000000 
10 6 0.000000 
10 7 0.000000 
10 8 0.000000 
10 9 0.000000 
10 10 0.000000 
10 11 0.000000 
10 12 0.000000 
10 13 0.000000 
10 14 0.000000 
10 15 0.000000 
10 16 0.000000 
10 17 0.000000 
10 18 0.000000 
10 19 0.000000 
10 20 0.000000 
10 21 0.000000 
10 22 0.000000 
10 23 0.000000 
10 24 0.000000 
10 25 0.000000 
10 26 0.000000 
10 27 0.000000 
10 28 0.000000 
10 29 0.000000 
10 30 0.000000 
10 31 0.000000 
10 32 0.000000 
10 33 0.000000 
10 34 0.000000 
10 35 0.000000 
10 36 0.000000 
10 37 0.000000 
10 38 0.000000 
10 39 0.000000 
10 40 0.000000 
10 41 0.000000 
10 42 0.000000 
11 0 100.000000 
11 1 0.000000 
11 2 0.000000 
11 3 0.000000 
11 4 0.000000 
11 5 0.000000 
11 6 0.000000 
11 7 0.000000 
11 8 0.000000 
11 9 0.000000 
11 10 0.000000 
11 11 0.000000 
11 12 0.000000 
11 13 0.000000 
11 14 0.000000 
11 15 0.000000 
11 16 0.000000 
11 17 0.000000 
11 18 0.000000 
11 19 0.000000 
11 20 0.000000 
11 21 0.000000 
11 22 0.000000 
11 23 0.000000 
11 24 0.000000 
11 25 0.000000 
11 26 0.000000 
11 27 0.000000 
11 28 0.000000 
11 29 0.000000 
11 30 0.000000 
11 31 0.000000 
11 32 0.000000 
11 33 0.000000 
11 34 0.000000 
11 35 0.000000 
11 36 0.000000 
11 37 0.000000 
11 38 0.000000 
11 39 0.000000 
11 40 0.000000 
11 41 0.000000 
11 42 0.000000 
12 0 100.000000 
12 1 0.000000 
12 2 0.000000 
12 3 0.000000 
12 4 0.000000 
12 5 0.000000 
12 6 0.000000 
12 7 0.000000 
12 8 0.000000 
12 9 0.000000 
12 10 0.000000 
12 11 0.000000 
12 12 0.000000 
12 13 0.000000 
12 14 0.000000 
12 15 0.000000 
12 16 0.000000 
12 17 0.000000 
12 18 0.000000 
12 19 0.000000 
12 20 0.000000 
12 21 0.000000 
12 22 0.000000 
12 23 0.000000 
12 24 0.000000 
12 25 0.000000 
12 26 0.000000 
12 27 0.000000 
12 28 0.000000 
12 29 0.000000 
12 30 0.000000 
12 31 0.000000 
12 32 0.000000 
12 33 0.000000 
12 34 0.000000 
12 35 0.000000 
12 36 0.000000 
12 37 0.000000 
12 38 0.000000 
12 39 0.000000 
12 40 0.000000 
12 41 0.000000 
12 42 0.000000 
13 0 100.000000 
13 1 0.000000 
13 2 0.000000 
13 3 0.000000 
13 4 0.000000 
13 5 0.000000 
13 6 0.000000 
13 7 0.000000 
13 8 0.000000 
13 9 0.000000 
13 10 0.000000 
13 11 0.000000 
13 12 0.000000 
13 13 0.000000 
13 14 0.000000 
13 15 0.000000 
13 16 0.000000 
13 17 0.000000 
13 18 0.000000 
13 19 0.000000 
13 20 0.000000 
13 21 0.000000 
13 22 0.000000 
13 23 0.000000 
13 24 0.000000 
13 25 0.000000 
13 26 0.000000 
13 27 0.000000 
13 28 0.000000 
13 29 0.000000 
13 30 0.000000 
13 31 0.000000 
13 32 0.000000 
13 33 0.000000 
13 34 0.000000 
13 35 0.000000 
13 36 0.000000 
13 37 0.000000 
13 38 0.000000 
13 39 0.000000 
13 40 0.000000 
13 41 0.000000 
13 42 0.000000 
14 0 100.000000 
14 1 0.000000 
14 2 0.000000 
14 3 0.000000 
14 4 0.000000 
14 5 0.000000 
14 6 0.000000 
14 7 0.000000 
14 8 0.000000 
14 9 0.000000 
14 10 0.000000 
14 11 0.000000 
14 12 0.000000 
14 13 0.000000 
14 14 0.000000 
14 15 0.000000 
14 16 0.000000 
14 17 0.000000 
14 18 0.000000 
14 19 0.000000 
14 20 0.000000 
14 21 0.000000 
14 22 0.000000 
14 23 0.000000 
14 24 0.000000 
14 25 0.000000 
14 26 0.000000 
14 27 0.000000 
14 28 0.000000 
14 29 0.000000 
14 30 0.000000 
14 31 0.000000 
14 32 0.000000 
14 33 0.000000 
14 34 0.000000 
14 35 0.000000 
14 36 0.000000 
14 37 0.000000 
14 38 0.000000 
14 39 0.000000 
14 40 0.000000 
14 41 0.000000 
14 42 0.000000 
15 0 100.000000 
15 1 0.000000 
15 2 0.000000 
15 3 0.000000 
15 4 0.000000 
15 5 0.000000 
15 6 0.000000 
15 7 0.000000 
15 8 0.000000 
15 9 0.000000 
15 10 0.000000 
15 11 0.000000 
15 12 0.000000 
15 13 0.000000 
15 14 0.000000 
15 15 0.000000 
15 16 0.000000 
15 17 0.000000 
15 18 0.000000 
15 19 0.000000 
15 20 0.000000 
15 21 0.000000 
15 22 0.000000 
15 23 0.000000 
15 24 0.000000 
15 25 0.000000 
15 26 0.000000 
15 27 0.000000 
15 28 0.000000 
15 29 0.000000 
15 30 0.000000 
15 31 0.000000 
15 32 0.000000 
15 33 0.000000 
15 34 0.000000 
15 35 0.000000 
15 36 0.000000 
15 37 0.000000 
15 38 0.000000 
15 39 0.000000 
15 40 0.000000 
15 41 0.000000 
15 42 0.000000 
16 0 100.000000 
16 1 0.000000 
16 2 0.000000 
16 3 0.000000 
16 4 0.000000 
16 5 0.000000 
16 6 0.000000 
16 7 0.000000 
16 8 0.000000 
16 9 0.000000 
16 10 0.000000 
16 11 0.000000 
16 12 0.000000 
16 13 0.000000 
16 14 0.000000 
16 15 0.000000 
16 16 0.000000 
16 17 0.000000 
16 18 0.000000 
16 19 0.000000 
16 20 0.000000 
16 21 0.000000 
16 22 0.000000 
16 23 0.000000 
16 24 0.000000 
16 25 0.000000 
16 26 0.000000 
16 27 0.000000 
16 28 0.000000 
16 29 0.000000 
16 30 0.000000 
16 31 0.000000 
16 32 0.000000 
16 33 0.000000 
16 34 0.000000 
16 35 0.000000 
16 36 0.000000 
16 37 0.000000 
16 38 0.000000 
16 39 0.000000 
16 40 0.000000 
16 41 0.000000 
16 42 0.000000 
17 0 100.000000 
17 1 0.000000 
17 2 0.000000 
17 3 0.000000 
17 4 0.000000 
17 5 0.000000 
17 6 0.000000 
17 7 0.000000 
17 8 0.000000 
17 9 0.000000 
17 10 0.000000 
17 11 0.000000 
17 12 0.000000 
17 13 0.000000 
17 14 0.000000 
17 15 0.000000 
17 16 0.000000 
17 17 0.000000 
17 18 0.000000 
17 19 0.000000 
17 20 0.000000 
17 21 0.000000 
17 22 0.000000 
17 23 0.000000 
17 24 0.000000 
17 25 0.000000 
17 26 0.000000 
17 27 0.000000 
17 28 0.000000 
17 29 0.000000 
17 30 0.000000 
17 31 0.000000 
17 32 0.000000 
17 33 0.000000 
17 34 0.000000 
17 35 0.000000 
17 36 0.000000 
17 37 0.000000 
17 38 0.000000 
17 39 0.000000 
17 40 0.000000 
17 41 0.000000 
17 42 0.000000 
18 0 100.000000 
18 1 0.000000 
18 2 0.000000 
18 3 0.000000 
18 4 0.000000 
18 5 0.000000 
18 6 0.000000 
18 7 0.000000 
18 8 0.000000 
18 9 0.000000 
18 10 0.000000 
18 11 0.000000 
18 12 0.000000 
18 13 0.000000 
18 14 0.000000 
18 15 0.000000 
18 16 0.000000 
18 17 0.000000 
18 18 0.000000 
18 19 0.000000 
18 20 0.000000 
18 21 0.000000 
18 22 0.000000 
18 23 0.000000 
18 24 0.000000 
18 25 0.000000 
18 26 0.000000 
18 27 0.000000 
18 28 0.000000 
18 29 0.000000 
18 30 0.000000 
18 31 0.000000 
18 32 0.000000 
18 33 0.000000 
18 34 0.000000 
18 35 0.000000 
18 36 0.000000 
18 37 0.000000 
18 38 0.000000 
18 39 0.000000 
18 40 0.000000 
18 41 0.000000 
18 42 0.000000 
19 0 100.000000 
19 1 0.000000 
19 2 0.000000 
19 3 0.000000 
19 4 0.000000 
19 5 0.000000 
19 6 0.000000 
19 7 0.000000 
19 8 0.000000 
19 9 0.000000 
19 10 0.000000 
19 11 0.000000 
19 12 0.000000 
19 13 0.000000 
19 14 0.000000 
19 15 0.000000 
19 16 0.000000 
19 17 0.000000 
19 18 0.000000 
19 19 0.000000 
19 20 0.000000 
19 21 0.000000 
19 22 0.000000 
19 23 0.000000 
19 24 0.000000 
19 25 0.000000 
19 26 0.000000 
19 27 0.000000 
19 28 0.000000 
19 29 0.000000 
19 30 0.000000 
19 31 0.000000 
19 32 0.000000 
19 33 0.000000 
19 34 0.000000 
19 35 0.000000 
19 36 0.000000 
19 37 0.000000 
19 38 0.000000 
19 39 0.000000 
19 40 0.000000 
19 41 0.000000 
19 42 0.000000 
20 0 100.000000 
20 1 0.000000 
20 2 0.000000 
20 3 0.000000 
20 4 0.000000 
20 5 0.000000 
20 6 0.000000 
20 7 0.000000 
20 8 0.000000 
20 9 0.000000 
20 10 0.000000 
20 11 0.000000 
20 12 0.000000 
20 13 0.000000 
20 14 0.000000 
20 15 0.000000 
20 16 0.000000 
20 17 0.000000 
20 18 0.000000 
20 19 0.000000 
20 20 0.000000 
20 21 0.000000 
20 22 0.000000 
20 23 0.000000 
20 24 0.000000 
20 25 0.000000 
20 26 0.000000 
20 27 0.000000 
20 28 0.000000 
20 29 0.000000 
20 30 0.000000 
20 31 0.000000 
20 32 0.000000 
20 33 0.000000 
20 34 0.000000 
20 35 0.000000 
20 36 0.000000 
20 37 0.000000 
20 38 0.000000 
20 39 0.000000 
20 40 0.000000 
20 41 0.000000 
20 42 0.000000 
EFO 
 pause 0.1 
set cbrange [-1.000000:101.000000] 
set palette defined (-1 "#0000FF", 101 "#FF0000") 
plot "-" using 2:1:3 with image 
0 0 100.000000 
0 1 28.986911 
0 2 9.897922 
0 3 4.198603 
0 4 2.346915 
0 5 0.909268 
0 6 0.311988 
0 7 0.093203 
0 8 0.038399 
0 9 0.008958 
0 10 0.001795 
0 11 0.000309 
0 12 0.000088 
0 13 0.000012 
0 14 0.000001 
0 15 0.000000 
0 16 0.000000 
0 17 0.000000 
0 18 0.000000 
0 19 0.000000 
0 20 0.000000 
0 21 0.000000 
0 22 0.000000 
0 23 0.000000 
0 24 0.000000 
0 25 0.000000 
0 26 0.000000 
0 27 0.000000 
0 28 0.000000 
0 29 0.000000 
0 30 0.000000 
0 31 0.000000 
0 32 0.000000 
0 33 0.000000 
0 34 0.000000 
0 35 0.000000 
0 36 0.000000 
0 37 0.000000 
0 38 0.000000 
0 39 0.000000 
0 40 0.000000 
0 41 0.000000 
0 42 0.000000 
1 0 100.000000 
1 1 58.633974 
1 2 26.186465 
1 3 11.770725 
1 4 6.675435 
1 5 2.614030 
1 6 0.901672 
1 7 0.270165 
1 8 0.111450 
1 9 0.026035 
1 10 0.005220 
1 11 0.000898 
1 12 0.000255 
1 13 0.000034 
1 14 0.000004 
1 15 0.000000 
1 16 0.000000 
1 17 0.000000 
1 18 0.000000 
1 19 0.000000 
1 20 0.000000 
1 21 0.000000 
1 22 0.000000 
1 23 0.000000 
1 24 0.000000 
1 25 0.000000 
1 26 0.000000 
1 27 0.000000 
1 28 0.000000 
1 29 0.000000 
1 30 0.000000 
1 31 0.000000 
1 32 0.000000 
1 33 0.000000 
1 34 0.000000 
1 35 0.000000 
1 36 0.000000 
1 37 0.000000 
1 38 0.000000 
1 39 0.000000 
1 40 0.000000 
1 41 0.000000 
1 42 0.000000 
2 0 100.000000 
2 1 72.310421 
2 2 39.737537 
2 3 19.551316 
2 4 11.428426 
2 5 4.590441 
2 6 1.605303 
2 7 0.484897 
2 8 0.200758 
2 9 0.047078 
2 10 0.009464 
2 11 0.001631 
2 12 0.000464 
2 13 0.000062 
2 14 0.000007 
2 15 0.000001 
2 16 0.000000 
2 17 0.000000 
2 18 0.000000 
2 19 0.000000 
2 20 0.000000 
2 21 0.000000 
2 22 0.000000 
2 23 0.000000 
2 24 0.000000 
2 25 0.000000 
2 26 0.000000 
2 27 0.000000 
2 28 0.000000 
2 29 0.000000 
2 30 0.000000 
2 31 0.000000 
2 32 0.000000 
2 33 0.000000 
2 34 0.000000 
2 35 0.000000 
2 36 0.000000 
2 37 0.000000 
2 38 0.000000 
2 39 0.000000 
2 40 0.000000 
2 41 0.000000 
2 42 0.000000 
3 0 100.000000 
3 1 76.080444 
3 2 45.133678 
3 3 23.409991 
3 4 14.003076 
3 5 5.753437 
3 6 2.040082 
3 7 0.621674 
3 8 0.258448 
3 9 0.060876 
3 10 0.012275 
3 11 0.002120 
3 12 0.000604 
3 13 0.000081 
3 14 0.000009 
3 15 0.000001 
3 16 0.000000 
3 17 0.000000 
3 18 0.000000 
3 19 0.000000 
3 20 0.000000 
3 21 0.000000 
3 22 0.000000 
3 23 0.000000 
3 24 0.000000 
3 25 0.000000 
3 26 0.000000 
3 27 0.000000 
3 28 0.000000 
3 29 0.000000 
3 30 0.000000 
3 31 0.000000 
3 32 0.000000 
3 33 0.000000 
3 34 0.000000 
3 35 0.000000 
3 36 0.000000 
3 37 0.000000 
3 38 0.000000 
3 39 0.000000 
3 40 0.000000 
3 41 0.000000 
3 42 0.000000 
4 0 100.000000 
4 1 77.232795 
4 2 47.054875 
4 3 24.989748 
4 4 15.134394 
4 5 6.305237 
4 6 2.257223 
4 7 0.692388 
4 8 0.288777 
4 9 0.068267 
4 10 0.013801 
4 11 0.002388 
4 12 0.000680 
4 13 0.000091 
4 14 0.000010 
4 15 0.000001 
4 16 0.000000 
4 17 0.000000 
4 18 0.000000 
4 19 0.000000 
4 20 0.000000 
4 21 0.000000 
4 22 0.000000 
4 23 0.000000 
4 24 0.000000 
4 25 0.000000 
4 26 0.000000 
4 27 0.000000 
4 28 0.000000 
4 29 0.000000 
4 30 0.000000 
4 31 0.000000 
4 32 0.000000 
4 33 0.000000 
4 34 0.000000 
4 35 0.000000 
4 36 0.000000 
4 37 0.000000 
4 38 0.000000 
4 39 0.000000 
4 40 0.000000 
4 41 0.000000 
4 42 0.000000 
5 0 100.000000 
5 1 77.579760 
5 2 47.676088 
5 3 25.545225 
5 4 15.552593 
5 5 6.522074 
5 6 2.346526 
5 7 0.722451 
5 8 0.301891 
5 9 0.071525 
5 10 0.014483 
5 11 0.002509 
5 12 0.000715 
5 13 0.000096 
5 14 0.000011 
5 15 0.000001 
5 16 0.000000 
5 17 0.000000 
5 18 0.000000 
5 19 0.000000 
5 20 0.000000 
5 21 0.000000 
5 22 0.000000 
5 23 0.000000 
5 24 0.000000 
5 25 0.000000 
5 26 0.000000 
5 27 0.000000 
5 28 0.000000 
5 29 0.000000 
5 30 0.000000 
5 31 0.000000 
5 32 0.000000 
5 33 0.000000 
5 34 0.000000 
5 35 0.000000 
5 36 0.000000 
5 37 0.000000 
5 38 0.000000 
5 39 0.000000 
5 40 0.000000 
5 41 0.000000 
5 42 0.000000 
6 0 100.000000 
6 1 77.657336 
6 2 47.819919 
6 3 25.680039 
6 4 15.657307 
6 5 6.578672 
6 6 2.370632 
6 7 0.730780 
6 8 0.305574 
6 9 0.072455 
6 10 0.014680 
6 11 0.002544 
6 12 0.000725 
6 13 0.000097 
6 14 0.000011 
6 15 0.000001 
6 16 0.000000 
6 17 0.000000 
6 18 0.000000 
6 19 0.000000 
6 20 0.000000 
6 21 0.000000 
6 22 0.000000 
6 23 0.000000 
6 24 0.000000 
6 25 0.000000 
6 26 0.000000 
6 27 0.000000 
6 28 0.000000 
6 29 0.000000 
6 30 0.000000 
6 31 0.000000 
6 32 0.000000 
6 33 0.000000 
6 34 0.000000 
6 35 0.000000 
6 36 0.000000 
6 37 0.000000 
6 38 0.000000 
6 39 0.000000 
6 40 0.000000 
6 41 0.000000 
6 42 0.000000 
7 0 100.000000 
7 1 77.696474 
7 2 47.893851 
7 3 25.751256 
7 4 15.713712 
7 5 6.610014 
7 6 2.384304 
7 7 0.735597 
7 8 0.307728 
7 9 0.073006 
7 10 0.014798 
7 11 0.002565 
7 12 0.000732 
7 13 0.000098 
7 14 0.000011 
7 15 0.000001 
7 16 0.000000 
7 17 0.000000 
7 18 0.000000 
7 19 0.000000 
7 20 0.000000 
7 21 0.000000 
7 22 0.000000 
7 23 0.000000 
7 24 0.000000 
7 25 0.000000 
7 26 0.000000 
7 27 0.000000 
7 28 0.000000 
7 29 0.000000 
7 30 0.000000 
7 31 0.000000 
7 32 0.000000 
7 33 0.000000 
7 34 0.000000 
7 35 0.000000 
7 36 0.000000 
7 37 0.000000 
7 38 0.000000 
7 39 0.000000 
7 40 0.000000 
7 41 0.000000 
7 42 0.000000 
8 0 100.000000 
8 1 77.705563 
8 2 47.911297 
8 3 25.768478 
8 4 15.727603 
8 5 6.617944 
8 6 2.387848 
8 7 0.736872 
8 8 0.308304 
8 9 0.073156 
8 10 0.014830 
8 11 0.002571 
8 12 0.000733 
8 13 0.000098 
8 14 0.000011 
8 15 0.000001 
8 16 0.000000 
8 17 0.000000 
8 18 0.000000 
8 19 0.000000 
8 20 0.000000 
8 21 0.000000 
8 22 0.000000 
8 23 0.000000 
8 24 0.000000 
8 25 0.000000 
8 26 0.000000 
8 27 0.000000 
8 28 0.000000 
8 29 0.000000 
8 30 0.000000 
8 31 0.000000 
8 32 0.000000 
8 33 0.000000 
8 34 0.000000 
8 35 0.000000 
8 36 0.000000 
8 37 0.000000 
8 38 0.000000 
8 39 0.000000 
8 40 0.000000 
8 41 0.000000 
8 42 0.000000 
9 0 100.000000 
9 1 77.707418 
9 2 47.914894 
9 3 25.772088 
9 4 15.730552 
9 5 6.619661 
9 6 2.388630 
9 7 0.737158 
9 8 0.308435 
9 9 0.073190 
9 10 0.014837 
9 11 0.002572 
9 12 0.000734 
9 13 0.000098 
9 14 0.000011 
9 15 0.000001 
9 16 0.000000 
9 17 0.000000 
9 18 0.000000 
9 19 0.000000 
9 20 0.000000 
9 21 0.000000 
9 22 0.000000 
9 23 0.000000 
9 24 0.000000 
9 25 0.000000 
9 26 0.000000 
9 27 0.000000 
9 28 0.000000 
9 29 0.000000 
9 30 0.000000 
9 31 0.000000 
9 32 0.000000 
9 33 0.000000 
9 34 0.000000 
9 35 0.000000 
9 36 0.000000 
9 37 0.000000 
9 38 0.000000 
9 39 0.000000 
9 40 0.000000 
9 41 0.000000 
9 42 0.000000 
10 0 100.000000 
10 1 77.707742 
10 2 47.915527 
10 3 25.772729 
10 4 15.731081 
10 5 6.619973 
10 6 2.388774 
10 7 0.737211 
10 8 0.308459 
10 9 0.073196 
10 10 0.014839 
10 11 0.002573 
10 12 0.000734 
10 13 0.000098 
10 14 0.000011 
10 15 0.000001 
10 16 0.000000 
10 17 0.000000 
10 18 0.000000 
10 19 0.000000 
10 20 0.000000 
10 21 0.000000 
10 22 0.000000 
10 23 0.000000 
10 24 0.000000 
10 25 0.000000 
10 26 0.000000 
10 27 0.000000 
10 28 0.000000 
10 29 0.000000 
10 30 0.000000 
10 31 0.000000 
10 32 0.000000 
10 33 0.000000 
10 34 0.000000 
10 35 0.000000 
10 36 0.000000 
10 37 0.000000 
10 38 0.000000 
10 39 0.000000 
10 40 0.000000 
10 41 0.000000 
10 42 0.000000 
